日期,二手指数,新指数
2015-09-01,134.34,158.92
2015-10-01,133.97,157.37
2015-11-01,133.71,157.23
2015-12-01,133.71,156.73
2016-01-01,136.4,156.25
2016-02-01,131.27,155.03
2016-03-01,130.5,153.13
2016-04-01,128.36,151.21
2016-05-01,123.94,149.98
2016-06-01,112.45,146.18
2016-07-01,107.87,144.37
2016-08-01,106.11,143.23
2016-09-01,104.68,141.33
2016-10-01,100.19,141.33
2016-11-01,97.0,141.33
2016-12-01,97.0,140.0
2017-01-01,100.0,139.0
2017-02-01,100.0,138.0
2017-03-01,102.0,138.0
2017-04-01,102.0,138.0
2017-05-01,105.19,139.59
2017-06-01,103.33,140.09
2017-07-01,99.35,140.09
2017-08-01,99.35,140.09
2017-09-01,98.0,140.09
2017-10-01,98.92,140.09
2017-11-01,98.4,140.84
2017-12-01,104.81,141.46
2018-01-01,104.27,144.53
2018-02-01,103.23,146.3
2018-03-01,106.45,147.8
2018-04-01,106.11,148.0
2018-05-01,106.02,148.28
2018-06-01,106.0,149.55
2018-07-01,105.3,150.56
2018-08-01,104.0,151.73
2018-09-01,103.76,152.61
2018-10-01,102.9,153.11
2018-11-01,107.31,153.75
2018-12-01,109.63,153.75
2019-01-01,116.83,154.95
2019-02-01,117.32,154.95
2019-03-01,113.19,154.95
2019-04-01,112.17,154.95
2019-05-01,115.47,154.95
2019-06-01,118.65,154.95
2019-07-01,119.5,154.85
2019-08-01,118.78,154.85
2019-09-01,116.21,154.85
2019-10-01,123.92,154.11
2019-11-01,124.96,154.11
2019-12-01,124.96,153.79
2020-01-01,123.98,153.47
2020-02-01,128.25,153.47
2020-03-01,128.51,153.37
2020-04-01,127.12,152.22
2020-05-01,117.75,150.67
2020-06-01,116.46,149.43
2020-07-01,114.92,147.55
2020-08-01,114.25,146.98
2020-09-01,109.12,145.6
2020-10-01,107.81,144.84
2020-11-01,106.49,144.84
2020-12-01,106.49,145.22
2021-01-01,111.9,146.88
2021-02-01,110.6,148.8
2021-03-01,113.94,151.29
2021-04-01,118.22,154.97
2021-05-01,119.27,156.84
2021-06-01,120.32,159.17
2021-10-01,118.16,179.45
2021-11-01,119.6,180.9
2021-12-01,119.6,181.7
2022-01-01,125.6,182.66
2022-02-01,125.06,183.26
2022-03-01,126.13,183.26
2022-04-01,133.87,185.21
2022-05-01,142.8,188.28
2022-06-01,144.39,189.22
2022-07-01,158.04,191.24
2022-08-01,165.7,191.64
2022-09-01,171.42,190.99
2022-10-01,170.58,192.06
2022-11-01,174.92,192.06
2022-12-01,178.22,192.06
2023-01-01,190.66,192.06
2023-02-01,190.16,192.06
2023-03-01,191.62,196.0
2023-04-01,194.46,199.6
2023-05-01,196.69,204.68
2023-06-01,194.94,205.32
2023-07-01,192.92,205.92
2023-08-01,192.98,205.92
2023-09-01,195.64,206.6
2023-10-01,205.6,206.6
2023-11-01,206.77,208.5
2023-12-01,207.26,208.5
2024-01-01,220.33,209.84
2024-02-01,328.24,211.39
2024-03-01,331.29,215.71
2024-04-01,222.73,216.86
2024-05-01,222.73,220.08
2024-06-01,226.23,223.09
2024-07-01,226.23,223.09
2024-08-01,235.58,223.09
2024-09-01,235.58,223.09
2024-10-01,223.01,223.09
2024-11-01,223.01,223.09
2024-12-01,203.39,223.09
2025-01-01,198.37,222.89
2025-02-01,197.52,220.98
2025-03-01,197.84,214.83
2025-04-01,197.84,213.09
2025-05-01,195.25,212.24
2025-06-01,192.25,212.37
2025-07-01,192.25,212.81
2025-08-01,193.93,212.49
