Feature,Importance_Vol
成交量_lag2,0.11382144
成交量_lag1,0.08659865
ARBR,0.05085719
快手概念,0.05070205
俄罗斯RTS指数,0.03550565
成交量_lag3,0.03349181
收盘价_lag1,0.031281773
序号_y,0.030333776
序号_x,0.029879475
BIAS,0.029642137
VMA,0.026573548
VMACD,0.024557967
MACD,0.023462694
道琼斯工业平均指数,0.022990156
互联网,0.022044444
RSI,0.02160545
DMA,0.021541929
数字媒体,0.01991421
沪深300指数,0.01686761
BBI,0.015983678
上证综合指数,0.015839059
中证500指数,0.014929874
EXPMA,0.014579389
美国:欧元兑美元,0.014409012
恒生指数,0.013970019
MTM,0.013583438
BOLL,0.011946924
成交金额:上证综合指数,0.011782943
美国证交所,0.011596334
意大利MIB指数,0.011397988
沪市:股票:流通市值,0.010676364
美国:美元兑人民币,0.010632961
深市:股票:流通市值,0.01026584
东京日经225指数,0.010107086
数字孪生,0.010094095
荷兰AEX指数,0.010091479
成交量:上证综合指数,0.0098931715
伦敦金融时报100指数,0.009787991
互联网电商,0.009459731
OBV,0.008276435
上证50指数,0.0081615085
纳斯达克综合指数,0.00799357
收盘价_lag2,0.007925635
收盘价_lag3,0.007833311
深证综合指数,0.005570932
创业板指数,0.0051776096
KDJ,0.004848868
MA,0.0044084606
法国巴黎CAC40指数,0.0038619016
标准普尔500指数,0.0030861725
深证成份指数,0.0001562832
上证A股指数,0.0
中国香港:少于10万元人民币的存款利率:12个月:期内平均数,0.0
全国:居民消费价格指数:当期值,0.0
社会消费品零售总额:当月值,0.0
中国战略性新兴产业采购经理指数(EPMI):当月值,0.0
股票市场:期末市价总值,0.0
金融机构人民币贷款利率区间占比:等于LPR,0.0
GDP:现价,0.0
